# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Isotope_Dilution/nanoSIMS_October2017/Meth102817_Si33@1_1_p2-30/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50
# plane	POL=3		POL=2		POL=0		POL=2		POL=2		POL=0		POL=1		POL=1		POL=4		POL=0		POL=0		POL=2		POL=4		POL=0		POL=1		POL=2		POL=3		POL=4		POL=2		POL=3		POL=0		POL=1		POL=3		POL=1		POL=0		POL=3		POL=2		POL=5		POL=5		POL=0		POL=3		POL=2		POL=3		POL=4		POL=1		POL=2		POL=4		POL=1		POL=3		POL=0		POL=3		POL=3		POL=0		POL=2		POL=2		POL=4		POL=1		POL=2		POL=4		POL=1	
1	7.370e+02	2.715e+01	2.777e+03	5.270e+01	1.063e+03	3.260e+01	4.440e+02	2.107e+01	4.791e+03	6.922e+01	3.290e+02	1.814e+01	3.133e+03	5.597e+01	2.336e+03	4.833e+01	3.133e+03	5.597e+01	1.480e+02	1.217e+01	4.021e+03	6.341e+01	1.594e+03	3.992e+01	4.293e+03	6.552e+01	5.016e+03	7.082e+01	1.990e+03	4.461e+01	1.312e+03	3.622e+01	9.070e+02	3.012e+01	5.624e+03	7.499e+01	2.630e+03	5.128e+01	7.490e+03	8.654e+01	2.022e+03	4.497e+01	2.425e+03	4.924e+01	2.268e+03	4.762e+01	1.406e+03	3.750e+01	7.360e+02	2.713e+01	3.296e+03	5.741e+01	1.267e+03	3.559e+01	4.070e+03	6.380e+01	3.740e+03	6.116e+01	9.420e+02	3.069e+01	2.893e+03	5.379e+01	7.930e+02	2.816e+01	1.945e+03	4.410e+01	5.790e+03	7.609e+01	7.774e+03	8.817e+01	4.744e+03	6.888e+01	1.172e+03	3.423e+01	2.140e+03	4.626e+01	3.152e+03	5.614e+01	4.870e+03	6.979e+01	1.902e+03	4.361e+01	4.083e+03	6.390e+01	4.704e+03	6.859e+01	3.294e+03	5.739e+01	3.716e+03	6.096e+01	5.271e+03	7.260e+01	1.538e+03	3.922e+01	1.027e+04	1.013e+02	3.252e+03	5.703e+01	1.930e+03	4.393e+01
2	7.670e+02	2.769e+01	2.500e+03	5.000e+01	1.008e+03	3.175e+01	3.910e+02	1.977e+01	4.830e+03	6.950e+01	3.280e+02	1.811e+01	3.063e+03	5.534e+01	2.416e+03	4.915e+01	3.099e+03	5.567e+01	1.640e+02	1.281e+01	4.245e+03	6.515e+01	1.491e+03	3.861e+01	4.527e+03	6.728e+01	5.108e+03	7.147e+01	1.986e+03	4.456e+01	1.207e+03	3.474e+01	8.960e+02	2.993e+01	5.527e+03	7.434e+01	2.573e+03	5.072e+01	7.495e+03	8.657e+01	1.935e+03	4.399e+01	2.306e+03	4.802e+01	2.278e+03	4.773e+01	1.375e+03	3.708e+01	7.350e+02	2.711e+01	3.179e+03	5.638e+01	1.327e+03	3.643e+01	4.312e+03	6.567e+01	3.789e+03	6.155e+01	9.660e+02	3.108e+01	2.865e+03	5.353e+01	8.560e+02	2.926e+01	1.989e+03	4.460e+01	5.756e+03	7.587e+01	7.874e+03	8.874e+01	4.428e+03	6.654e+01	1.199e+03	3.463e+01	2.142e+03	4.628e+01	3.222e+03	5.676e+01	5.222e+03	7.226e+01	1.882e+03	4.338e+01	3.872e+03	6.223e+01	4.611e+03	6.790e+01	3.320e+03	5.762e+01	3.649e+03	6.041e+01	4.918e+03	7.013e+01	1.498e+03	3.870e+01	1.029e+04	1.014e+02	3.386e+03	5.819e+01	2.016e+03	4.490e+01
3	7.090e+02	2.663e+01	2.559e+03	5.059e+01	9.080e+02	3.013e+01	4.240e+02	2.059e+01	4.492e+03	6.702e+01	3.320e+02	1.822e+01	3.123e+03	5.588e+01	2.265e+03	4.759e+01	2.888e+03	5.374e+01	1.490e+02	1.221e+01	4.001e+03	6.325e+01	1.454e+03	3.813e+01	4.643e+03	6.814e+01	5.110e+03	7.148e+01	2.036e+03	4.512e+01	1.169e+03	3.419e+01	9.270e+02	3.045e+01	4.828e+03	6.948e+01	2.549e+03	5.049e+01	7.612e+03	8.725e+01	1.990e+03	4.461e+01	2.245e+03	4.738e+01	2.302e+03	4.798e+01	1.339e+03	3.659e+01	6.860e+02	2.619e+01	3.112e+03	5.579e+01	1.311e+03	3.621e+01	3.999e+03	6.324e+01	3.909e+03	6.252e+01	9.230e+02	3.038e+01	2.942e+03	5.424e+01	8.910e+02	2.985e+01	1.900e+03	4.359e+01	5.763e+03	7.591e+01	7.480e+03	8.649e+01	4.317e+03	6.570e+01	1.174e+03	3.426e+01	2.154e+03	4.641e+01	3.249e+03	5.700e+01	5.129e+03	7.162e+01	1.932e+03	4.395e+01	3.717e+03	6.097e+01	4.250e+03	6.519e+01	3.238e+03	5.690e+01	3.659e+03	6.049e+01	5.320e+03	7.294e+01	1.579e+03	3.974e+01	1.038e+04	1.019e+02	3.335e+03	5.775e+01	1.985e+03	4.455e+01
4	6.920e+02	2.631e+01	2.535e+03	5.035e+01	8.840e+02	2.973e+01	3.950e+02	1.987e+01	4.530e+03	6.731e+01	3.370e+02	1.836e+01	3.112e+03	5.579e+01	2.461e+03	4.961e+01	2.887e+03	5.373e+01	1.430e+02	1.196e+01	4.028e+03	6.347e+01	1.440e+03	3.795e+01	4.655e+03	6.823e+01	5.098e+03	7.140e+01	1.885e+03	4.342e+01	1.141e+03	3.378e+01	9.270e+02	3.045e+01	4.586e+03	6.772e+01	2.695e+03	5.191e+01	7.560e+03	8.695e+01	1.991e+03	4.462e+01	2.286e+03	4.781e+01	2.295e+03	4.791e+01	1.382e+03	3.718e+01	7.820e+02	2.796e+01	3.038e+03	5.512e+01	1.319e+03	3.632e+01	4.191e+03	6.474e+01	3.858e+03	6.211e+01	8.110e+02	2.848e+01	2.910e+03	5.394e+01	8.160e+02	2.857e+01	1.968e+03	4.436e+01	5.753e+03	7.585e+01	8.092e+03	8.996e+01	4.352e+03	6.597e+01	1.215e+03	3.486e+01	2.065e+03	4.544e+01	3.165e+03	5.626e+01	5.050e+03	7.106e+01	1.885e+03	4.342e+01	3.629e+03	6.024e+01	4.271e+03	6.535e+01	3.176e+03	5.636e+01	3.392e+03	5.824e+01	5.127e+03	7.160e+01	1.546e+03	3.932e+01	9.620e+03	9.808e+01	3.337e+03	5.777e+01	1.952e+03	4.418e+01
5	6.750e+02	2.598e+01	2.643e+03	5.141e+01	8.750e+02	2.958e+01	3.680e+02	1.918e+01	4.573e+03	6.762e+01	2.900e+02	1.703e+01	2.967e+03	5.447e+01	2.256e+03	4.750e+01	2.749e+03	5.243e+01	1.620e+02	1.273e+01	3.880e+03	6.229e+01	1.357e+03	3.684e+01	4.843e+03	6.959e+01	5.039e+03	7.099e+01	2.029e+03	4.504e+01	1.093e+03	3.306e+01	8.450e+02	2.907e+01	3.268e+03	5.717e+01	2.445e+03	4.945e+01	7.756e+03	8.807e+01	1.947e+03	4.412e+01	2.224e+03	4.716e+01	2.319e+03	4.816e+01	1.367e+03	3.697e+01	7.100e+02	2.665e+01	3.303e+03	5.747e+01	1.170e+03	3.421e+01	4.097e+03	6.401e+01	3.756e+03	6.129e+01	9.000e+02	3.000e+01	2.969e+03	5.449e+01	8.340e+02	2.888e+01	1.939e+03	4.403e+01	5.879e+03	7.667e+01	8.311e+03	9.116e+01	4.282e+03	6.544e+01	1.205e+03	3.471e+01	2.066e+03	4.545e+01	3.288e+03	5.734e+01	5.526e+03	7.434e+01	1.895e+03	4.353e+01	3.525e+03	5.937e+01	4.310e+03	6.565e+01	3.123e+03	5.588e+01	3.465e+03	5.886e+01	4.971e+03	7.051e+01	1.686e+03	4.106e+01	9.725e+03	9.862e+01	3.331e+03	5.771e+01	1.898e+03	4.357e+01
6	6.560e+02	2.561e+01	2.446e+03	4.946e+01	8.670e+02	2.944e+01	3.590e+02	1.895e+01	4.373e+03	6.613e+01	3.080e+02	1.755e+01	3.110e+03	5.577e+01	2.431e+03	4.931e+01	2.701e+03	5.197e+01	1.620e+02	1.273e+01	3.866e+03	6.218e+01	1.382e+03	3.718e+01	4.834e+03	6.953e+01	5.043e+03	7.101e+01	2.000e+03	4.472e+01	9.850e+02	3.138e+01	8.140e+02	2.853e+01	2.797e+03	5.289e+01	2.564e+03	5.064e+01	7.886e+03	8.880e+01	2.046e+03	4.523e+01	2.192e+03	4.682e+01	2.401e+03	4.900e+01	1.322e+03	3.636e+01	6.810e+02	2.610e+01	3.274e+03	5.722e+01	1.237e+03	3.517e+01	4.203e+03	6.483e+01	3.769e+03	6.139e+01	8.470e+02	2.910e+01	3.020e+03	5.495e+01	8.270e+02	2.876e+01	1.869e+03	4.323e+01	6.103e+03	7.812e+01	7.874e+03	8.874e+01	4.475e+03	6.690e+01	1.156e+03	3.400e+01	1.956e+03	4.423e+01	3.132e+03	5.596e+01	5.349e+03	7.314e+01	1.911e+03	4.371e+01	3.325e+03	5.766e+01	4.459e+03	6.678e+01	3.166e+03	5.627e+01	3.458e+03	5.880e+01	4.655e+03	6.823e+01	1.552e+03	3.940e+01	9.587e+03	9.791e+01	3.072e+03	5.543e+01	1.845e+03	4.295e+01
7	5.860e+02	2.421e+01	2.442e+03	4.942e+01	8.430e+02	2.903e+01	3.480e+02	1.865e+01	4.348e+03	6.594e+01	3.340e+02	1.828e+01	3.009e+03	5.485e+01	2.324e+03	4.821e+01	2.622e+03	5.121e+01	1.530e+02	1.237e+01	3.719e+03	6.098e+01	1.313e+03	3.624e+01	5.083e+03	7.130e+01	5.009e+03	7.077e+01	2.052e+03	4.530e+01	9.950e+02	3.154e+01	8.240e+02	2.871e+01	2.930e+03	5.413e+01	2.434e+03	4.934e+01	7.685e+03	8.766e+01	2.021e+03	4.496e+01	2.082e+03	4.563e+01	2.335e+03	4.832e+01	1.372e+03	3.704e+01	6.690e+02	2.587e+01	3.040e+03	5.514e+01	1.243e+03	3.526e+01	4.113e+03	6.413e+01	3.877e+03	6.227e+01	8.400e+02	2.898e+01	2.908e+03	5.393e+01	8.060e+02	2.839e+01	1.872e+03	4.327e+01	6.136e+03	7.833e+01	7.835e+03	8.852e+01	4.515e+03	6.719e+01	1.252e+03	3.538e+01	1.966e+03	4.434e+01	3.098e+03	5.566e+01	5.527e+03	7.434e+01	1.867e+03	4.321e+01	3.352e+03	5.790e+01	4.136e+03	6.431e+01	2.928e+03	5.411e+01	3.236e+03	5.689e+01	4.594e+03	6.778e+01	1.470e+03	3.834e+01	9.495e+03	9.744e+01	3.093e+03	5.561e+01	1.788e+03	4.228e+01
8	6.610e+02	2.571e+01	2.411e+03	4.910e+01	8.210e+02	2.865e+01	3.470e+02	1.863e+01	4.367e+03	6.608e+01	2.990e+02	1.729e+01	2.993e+03	5.471e+01	2.264e+03	4.758e+01	2.692e+03	5.188e+01	1.800e+02	1.342e+01	3.827e+03	6.186e+01	1.369e+03	3.700e+01	5.277e+03	7.264e+01	4.989e+03	7.063e+01	2.022e+03	4.497e+01	8.880e+02	2.980e+01	8.270e+02	2.876e+01	2.884e+03	5.370e+01	2.442e+03	4.942e+01	7.622e+03	8.730e+01	1.990e+03	4.461e+01	2.029e+03	4.504e+01	2.314e+03	4.810e+01	1.355e+03	3.681e+01	6.250e+02	2.500e+01	3.318e+03	5.760e+01	1.210e+03	3.479e+01	3.986e+03	6.313e+01	3.973e+03	6.303e+01	8.520e+02	2.919e+01	2.973e+03	5.453e+01	8.820e+02	2.970e+01	1.918e+03	4.379e+01	6.247e+03	7.904e+01	7.581e+03	8.707e+01	4.327e+03	6.578e+01	1.040e+03	3.225e+01	1.959e+03	4.426e+01	3.046e+03	5.519e+01	5.525e+03	7.433e+01	1.951e+03	4.417e+01	3.084e+03	5.553e+01	4.340e+03	6.588e+01	3.062e+03	5.534e+01	3.198e+03	5.655e+01	4.592e+03	6.776e+01	1.576e+03	3.970e+01	9.086e+03	9.532e+01	2.951e+03	5.432e+01	1.742e+03	4.174e+01
9	5.880e+02	2.425e+01	2.402e+03	4.901e+01	8.400e+02	2.898e+01	3.900e+02	1.975e+01	4.134e+03	6.430e+01	3.260e+02	1.806e+01	2.880e+03	5.367e+01	2.325e+03	4.822e+01	2.608e+03	5.107e+01	1.770e+02	1.330e+01	3.770e+03	6.140e+01	1.448e+03	3.805e+01	5.827e+03	7.633e+01	4.971e+03	7.051e+01	1.969e+03	4.437e+01	8.990e+02	2.998e+01	8.240e+02	2.871e+01	3.181e+03	5.640e+01	2.454e+03	4.954e+01	7.826e+03	8.846e+01	2.063e+03	4.542e+01	2.063e+03	4.542e+01	2.558e+03	5.058e+01	1.291e+03	3.593e+01	7.080e+02	2.661e+01	3.320e+03	5.762e+01	1.222e+03	3.496e+01	3.936e+03	6.274e+01	4.142e+03	6.436e+01	7.130e+02	2.670e+01	3.180e+03	5.639e+01	9.060e+02	3.010e+01	1.902e+03	4.361e+01	6.174e+03	7.857e+01	7.549e+03	8.688e+01	4.539e+03	6.737e+01	1.091e+03	3.303e+01	1.970e+03	4.438e+01	3.275e+03	5.723e+01	5.324e+03	7.297e+01	1.992e+03	4.463e+01	3.037e+03	5.511e+01	4.945e+03	7.032e+01	2.954e+03	5.435e+01	3.253e+03	5.704e+01	4.660e+03	6.826e+01	1.458e+03	3.818e+01	8.764e+03	9.362e+01	3.126e+03	5.591e+01	1.744e+03	4.176e+01
10	6.100e+02	2.470e+01	2.427e+03	4.926e+01	8.810e+02	2.968e+01	3.430e+02	1.852e+01	4.117e+03	6.416e+01	3.320e+02	1.822e+01	2.949e+03	5.430e+01	2.277e+03	4.772e+01	2.597e+03	5.096e+01	1.510e+02	1.229e+01	3.724e+03	6.102e+01	1.363e+03	3.692e+01	5.629e+03	7.503e+01	4.800e+03	6.928e+01	1.869e+03	4.323e+01	9.160e+02	3.027e+01	8.110e+02	2.848e+01	3.193e+03	5.651e+01	2.551e+03	5.051e+01	7.685e+03	8.766e+01	2.029e+03	4.504e+01	1.930e+03	4.393e+01	2.710e+03	5.206e+01	1.318e+03	3.630e+01	7.150e+02	2.674e+01	3.626e+03	6.022e+01	1.236e+03	3.516e+01	3.874e+03	6.224e+01	4.119e+03	6.418e+01	7.630e+02	2.762e+01	2.956e+03	5.437e+01	9.680e+02	3.111e+01	1.970e+03	4.438e+01	6.217e+03	7.885e+01	7.570e+03	8.701e+01	4.516e+03	6.720e+01	1.223e+03	3.497e+01	1.863e+03	4.316e+01	3.086e+03	5.555e+01	4.761e+03	6.900e+01	1.877e+03	4.332e+01	2.947e+03	5.429e+01	4.623e+03	6.799e+01	2.936e+03	5.418e+01	3.138e+03	5.602e+01	4.632e+03	6.806e+01	1.612e+03	4.015e+01	8.828e+03	9.396e+01	2.918e+03	5.402e+01	1.709e+03	4.134e+01
